Giornata	Squadra Casa	Squadra Ospite
24	hellas_verona	napoli
24	cremonese	spezia
--------------------------------------------------
25	inter	spezia
25	atalanta	milan
25	lazio	bologna
25	fiorentina	roma
25	udinese	salernitana
25	monza	napoli
25	empoli	juventus
25	hellas_verona	lecce
25	sampdoria	torino
25	cremonese	sassuolo
--------------------------------------------------
26	milan	roma
26	fiorentina	salernitana
26	sassuolo	atalanta
26	bologna	udinese
26	monza	juventus
26	empoli	inter
26	lecce	sampdoria
26	spezia	torino
26	cremonese	hellas_verona
26	napoli	lazio
--------------------------------------------------
27	inter	torino
27	lazio	milan
27	sassuolo	udinese
27	bologna	juventus
27	monza	roma
27	empoli	sampdoria
27	salernitana	lecce
27	spezia	fiorentina
27	hellas_verona	atalanta
27	napoli	cremonese
--------------------------------------------------
28	milan	cremonese
28	lazio	spezia
28	fiorentina	inter
28	sassuolo	roma
28	torino	juventus
28	udinese	napoli
28	empoli	lecce
28	salernitana	bologna
28	hellas_verona	monza
28	sampdoria	atalanta
--------------------------------------------------
29	milan	torino
29	lazio	lecce
29	sassuolo	fiorentina
29	udinese	sampdoria
29	bologna	inter
29	empoli	roma
29	salernitana	monza
29	hellas_verona	spezia
29	cremonese	atalanta
29	napoli	juventus
--------------------------------------------------
30	inter	napoli
30	udinese	lazio
30	bologna	empoli
30	monza	atalanta
30	salernitana	juventus
30	lecce	milan
30	spezia	roma
30	hellas_verona	fiorentina
30	sampdoria	sassuolo
30	cremonese	torino
--------------------------------------------------
31	milan	sassuolo
31	lazio	hellas_verona
31	fiorentina	bologna
31	torino	atalanta
31	udinese	inter
31	monza	empoli
31	lecce	cremonese
31	spezia	juventus
31	sampdoria	roma
31	napoli	salernitana
--------------------------------------------------
32	inter	juventus
32	sassuolo	salernitana
32	torino	monza
32	udinese	atalanta
32	bologna	roma
32	empoli	cremonese
32	spezia	lecce
32	hellas_verona	milan
32	sampdoria	lazio
32	napoli	fiorentina
--------------------------------------------------
33	inter	milan
33	sassuolo	lazio
33	torino	salernitana
33	udinese	hellas_verona
33	bologna	napoli
33	monza	spezia
33	empoli	atalanta
33	lecce	roma
33	sampdoria	fiorentina
33	cremonese	juventus
--------------------------------------------------
34	inter	atalanta
34	bologna	milan
34	empoli	udinese
34	salernitana	lazio
34	lecce	juventus
34	spezia	sassuolo
34	hellas_verona	roma
34	sampdoria	monza
34	cremonese	fiorentina
34	napoli	torino
--------------------------------------------------
35	milan	fiorentina
35	lazio	empoli
