Giornata	Squadra Casa	Squadra Ospite
26	sampdoria	inter
27	milan	monza
27	roma	lecce
27	lazio	udinese
27	sassuolo	spezia
27	torino	empoli
27	bologna	fiorentina
27	salernitana	juventus
27	hellas_verona	napoli
27	sampdoria	atalanta
27	cremonese	inter
28	inter	hellas_verona
28	juventus	torino
28	atalanta	lecce
28	lazio	sassuolo
28	fiorentina	milan
28	monza	cremonese
28	empoli	bologna
28	salernitana	sampdoria
28	spezia	roma
28	napoli	udinese
29	milan	torino
29	atalanta	fiorentina
29	roma	udinese
29	lazio	empoli
29	sassuolo	monza
29	bologna	salernitana
29	hellas_verona	spezia
29	sampdoria	juventus
29	cremonese	lecce
29	napoli	inter
30	inter	atalanta
30	roma	sassuolo
30	fiorentina	cremonese
30	udinese	milan
30	bologna	monza
30	empoli	napoli
30	salernitana	hellas_verona
30	lecce	lazio
30	spezia	juventus
30	sampdoria	torino
31	milan	sassuolo
31	juventus	bologna
31	roma	empoli
31	lazio	atalanta
31	torino	hellas_verona
31	udinese	lecce
31	monza	inter
31	salernitana	fiorentina
31	spezia	napoli
31	cremonese	sampdoria
32	inter	sampdoria
32	juventus	fiorentina
32	atalanta	sassuolo
32	lazio	milan
32	torino	bologna
32	lecce	monza
32	spezia	udinese
32	hellas_verona	empoli
32	cremonese	roma
32	napoli	salernitana
33	milan	spezia
33	atalanta	empoli
33	roma	torino
33	fiorentina	sampdoria
33	sassuolo	napoli
33	udinese	juventus
33	bologna	inter
33	monza	hellas_verona
33	lecce	salernitana
33	cremonese	lazio
34	inter	lecce
34	atalanta	torino
34	roma	monza
34	lazio	napoli
34	fiorentina	hellas_verona
34	sassuolo	juventus
34	bologna	milan
34	empoli	udinese
34	spezia	cremonese
34	sampdoria	salernitana
35	milan	fiorentina
35	juventus	atalanta
35	roma	inter
35	monza	udinese
35	empoli	lazio
35	salernitana	spezia
35	lecce	torino
35	hellas_verona	bologna
35	sampdoria	napoli
35	cremonese	sassuolo
36	inter	lazio
36	juventus	roma
36	sassuolo	hellas_verona
36	torino	sampdoria
36	udinese	salernitana
36	bologna	lecce
36	empoli	milan
36	spezia	monza
36	cremonese	atalanta
36	napoli	fiorentina
37	inter	napoli
37	atalanta	milan
37	roma	lazio
37	fiorentina	udinese
37	monza	torino
37	salernitana	empoli
37	lecce	sassuolo
37	spezia	bologna
37	sampdoria	hellas_verona
37	cremonese	juventus
38	inter	spezia
38	juventus	milan
38	atalanta	udinese
38	roma	napoli
38	lazio	bologna
38	fiorentina	sassuolo
38	monza	lecce
38	empoli	sampdoria
38	salernitana	cremonese
38	hellas_verona	torino
